date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,us_aqi,european_aqi,Condition,Rain,MaxTemp,MinTemp,SunRise,SunSet,MoonRise,MoonSet,AvgWind,AvgHumidity,AvgPressure,unhealthy_air
2016-03-20,25.495833333333334,20.954166666666666,286.875,53.53333333333333,10.904166666666669,29.666666666666668,0.5,74.83333333333333,52.875,Sunny,0.12,9,6,07:07:00,19:17:00,16:32:00,5:27:00,12,75,1018,1
2016-03-21,34.5625,28.995833333333334,282.9166666666667,51.84166666666667,11.9375,37.0,0.5,77.95833333333333,56.29166666666666,Sunny,0.0,14,8,07:06:00,19:18:00,17:30:00,6:0:00,17,66,1017,1
2016-03-22,38.67916666666667,29.0125,254.33333333333331,53.1625,9.791666666666666,29.08333333333333,0.5,91.20833333333331,65.125,Partly cloudy,0.0,17,11,07:04:00,19:19:00,18:27:00,6:31:00,21,62,1011,1
2016-03-23,52.175,38.3875,324.4583333333333,47.72916666666666,9.479166666666666,40.458333333333336,0.5,89.66666666666667,64.45833333333333,Cloudy,0.07,18,11,07:02:00,19:20:00,19:24:00,7:1:00,10,60,1005,1
2016-03-24,43.3375,26.71666666666667,207.95833333333331,28.925,5.7625,40.25,0.5,103.33333333333331,69.29166666666667,Sunny,5.5,17,9,07:01:00,19:21:00,20:20:00,7:30:00,31,69,999,1
2016-03-25,13.029166666666669,10.55,272.25,28.17083333333333,5.591666666666666,44.625,0.5,60.958333333333336,37.208333333333336,Overcast,11.35,8,7,06:59:00,19:22:00,21:17:00,7:59:00,21,88,1010,0
2016-03-26,13.329166666666666,10.958333333333334,234.5,33.4125,4.804166666666666,47.625,0.5,40.333333333333336,23.125,Sunny,2.92,9,5,06:57:00,19:23:00,22:12:00,8:30:00,27,70,1017,0
2016-03-27,15.666666666666666,13.708333333333334,237.20833333333331,40.425,5.541666666666667,44.41666666666666,0.5,54.125,28.375,Cloudy,0.0,9,4,06:55:00,19:24:00,23:8:00,9:3:00,23,66,1016,0
2016-03-28,25.229166666666668,21.85,303.125,63.325,9.1625,25.70833333333333,0.5,56.75,33.541666666666664,Cloudy,0.15,10,6,06:54:00,19:25:00,,9:39:00,10,64,1018,0
2016-03-29,26.975,24.5,277.9583333333333,55.7,10.645833333333334,38.41666666666666,0.5,76.91666666666667,57.708333333333336,Sunny,0.0,13,7,06:52:00,19:26:00,12:3:00,10:19:00,15,60,1018,1
2016-03-30,41.10833333333333,34.30833333333333,318.2083333333333,82.27499999999999,12.979166666666666,24.791666666666668,0.5,82.41666666666667,61.5,Sunny,0.0,16,10,06:50:00,19:28:00,12:56:00,11:4:00,13,70,1021,1
2016-03-31,53.6,46.958333333333336,336.7916666666667,76.66666666666667,12.8,23.5,0.5,116.375,73.58333333333333,Sunny,0.0,17,11,06:49:00,19:29:00,1:48:00,11:54:00,10,63,1022,1
2016-04-01,40.4,33.575,269.6666666666667,43.8625,8.6,36.583333333333336,0.5,116.70833333333331,73.75,Sunny,0.0,18,12,06:47:00,19:30:00,2:36:00,0:49:00,15,61,1018,1
2016-04-02,28.570833333333336,21.479166666666668,227.66666666666663,29.383333333333336,6.6375,46.333333333333336,0.5,83.83333333333333,61.41666666666666,Sunny,0.0,16,9,06:45:00,19:31:00,3:23:00,13:50:00,25,72,1021,1
2016-04-03,12.633333333333333,10.004166666666666,216.125,46.50416666666666,4.708333333333333,36.208333333333336,0.5,54.625,31.20833333333333,Sunny,0.0,15,8,06:44:00,19:32:00,4:5:00,14:55:00,25,60,1023,0
2016-04-04,17.629166666666666,14.395833333333334,278.8333333333333,73.44583333333334,7.883333333333333,24.291666666666668,0.5,47.75,33.458333333333336,Sunny,0.0,16,8,06:42:00,19:33:00,4:46:00,16:3:00,13,57,1017,0
2016-04-05,31.4,25.77083333333333,353.2083333333333,94.16666666666669,11.025,21.166666666666668,0.5,68.25,50.16666666666666,Sunny,0.0,18,10,06:40:00,19:34:00,5:25:00,17:15:00,11,49,1013,1
2016-04-06,58.00416666666666,45.375,404.7083333333333,113.80833333333334,16.283333333333335,16.958333333333332,0.5,95.20833333333331,66.33333333333333,Sunny,0.0,20,12,06:39:00,19:35:00,6:3:00,18:28:00,8,49,1011,1
2016-04-07,76.8,66.21666666666667,463.2916666666667,96.87916666666666,15.425,10.583333333333334,0.5,146.20833333333334,85.75,Sunny,0.0,21,13,06:37:00,19:36:00,6:41:00,19:42:00,7,47,1012,1
2016-04-08,74.32083333333334,61.37083333333334,428.375,88.62916666666666,14.204166666666666,19.5,0.5,153.79166666666666,90.16666666666669,Sunny,0.0,22,15,06:36:00,19:37:00,7:21:00,20:56:00,7,50,1006,1
2016-04-09,128.0875,82.9875,374.9583333333333,67.31666666666666,7.425,33.666666666666664,0.5,160.08333333333334,99.75,Sunny,0.67,21,13,06:34:00,19:38:00,8:3:00,22:8:00,7,62,1003,1
2016-04-10,53.29583333333333,35.454166666666666,216.41666666666663,38.52916666666667,6.079166666666667,36.833333333333336,0.5,144.95833333333334,88.29166666666667,Sunny,1.05,18,14,06:32:00,19:39:00,8:49:00,23:18:00,17,73,1003,1
2016-04-11,40.35416666666666,30.641666666666666,262.875,58.2125,9.0125,22.416666666666668,0.5,88.33333333333333,64.04166666666667,Sunny,0.0,17,12,06:31:00,19:40:00,9:39:00,,12,72,1007,1
2016-04-12,61.05833333333334,49.85,428.0833333333333,74.89583333333333,10.595833333333331,14.291666666666666,0.5,113.25,72.54166666666667,Overcast,0.1,16,12,06:29:00,19:41:00,10:33:00,12:21:00,8,80,1013,1
2016-04-13,59.0625,49.175,433.375,74.58749999999999,9.516666666666667,21.916666666666668,0.5,144.0,82.58333333333333,Sunny,0.19,17,11,06:28:00,19:42:00,11:30:00,1:18:00,13,67,1013,1
2016-04-14,44.60833333333333,35.11666666666667,240.04166666666663,59.583333333333336,8.487499999999999,32.875,0.5,106.04166666666669,70.375,Partly cloudy,0.5,15,11,06:26:00,19:43:00,0:28:00,2:8:00,13,73,1012,1
2016-04-15,59.68333333333334,45.29166666666666,295.0416666666667,68.6875,11.4,24.45833333333333,0.5,113.75,72.79166666666667,Partly cloudy,0.6,16,11,06:24:00,19:44:00,13:28:00,2:51:00,16,70,1012,1
