date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2013-02-02,21.108333333333334,15.0625,,17.445833333333333,,52.083333333333336,,,,55.25,28.958333333333332
2013-02-03,19.279166666666665,10.658333333333333,,8.450000000000001,,72.41666666666667,,,,49.708333333333336,29.208333333333332
2013-02-04,29.45,19.445833333333333,,22.745833333333334,,69.29166666666667,,,,49.25,32.791666666666664
2013-02-05,30.016666666666666,21.125,,30.258333333333336,,34.083333333333336,,,,70.25,45.75
2013-02-06,78.8875,58.479166666666664,,45.916666666666664,,23.083333333333332,,,,103.79166666666667,67.04166666666667
2013-02-07,29.03333333333333,23.2625,,21.125,,48.375,,,,131.79166666666666,79.91666666666667
2013-02-08,15.674999999999999,8.9,,16.125,,66.625,,,,47.75,30.583333333333332
2013-02-09,17.087500000000002,9.270833333333334,,17.245833333333334,,55.333333333333336,,,,37.291666666666664,22.916666666666668
2013-02-10,23.97083333333333,17.195833333333333,,27.941666666666666,,32.25,,,,48.083333333333336,24.083333333333332
2013-02-11,28.787499999999998,19.575,,30.21666666666667,,31.416666666666668,,,,65.33333333333333,38.958333333333336
2013-02-12,51.32916666666667,33.0625,,44.60833333333333,,19.625,,,,75.79166666666667,54.25
2013-02-13,69.17083333333333,41.34583333333333,,49.36666666666667,,19.666666666666668,,,,106.08333333333333,70.20833333333333
2013-02-14,48.62083333333334,27.683333333333334,,31.366666666666664,,36.833333333333336,,,,105.75,70.125
2013-02-15,31.7375,17.170833333333334,,16.704166666666666,,56.708333333333336,,,,66.54166666666667,42.041666666666664
2013-02-16,47.25833333333333,35.5875,,21.270833333333332,,40.0,,,,78.54166666666667,53.333333333333336
2013-02-17,51.979166666666664,35.00833333333333,,21.325,,34.5,,,,102.5,69.125
2013-02-18,53.949999999999996,35.00416666666667,,20.166666666666668,,43.375,,,,97.45833333333333,67.45833333333333
2013-02-19,46.979166666666664,32.983333333333334,,24.84583333333333,,43.958333333333336,,,,99.45833333333333,68.125
2013-02-20,33.67916666666667,25.40833333333333,,27.266666666666666,,47.291666666666664,,,,83.33333333333333,60.5
2013-02-21,62.7125,47.479166666666664,,50.75,,20.083333333333332,,,,103.125,69.04166666666667
2013-02-22,46.1625,40.05416666666667,,45.32916666666667,,33.041666666666664,,,,119.45833333333333,74.58333333333333
2013-02-23,55.4625,44.862500000000004,,64.58333333333333,,13.625,,,,122.83333333333333,75.66666666666667
2013-02-24,62.50416666666666,48.84583333333333,,46.11666666666667,,26.125,,,,121.5,75.25
2013-02-25,62.145833333333336,45.541666666666664,,41.05416666666667,,39.041666666666664,,,,138.54166666666666,80.70833333333333
2013-02-26,44.77916666666667,27.27916666666667,,26.9375,,48.333333333333336,,,,100.66666666666667,68.16666666666667
2013-02-27,40.44166666666667,25.733333333333334,,29.295833333333334,,47.75,,,,83.5,62.166666666666664
